,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Price (USD),sizeperWeight,priceperharddrive,priceperram,LogPrice (USD)
0,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500,AMD Radeon R5,Windows,10,0.3516209476309227,400.0,432.0,7.428571428571428,0.864,108.0,6.07073772800249
1,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS,X,0.3366583541147133,2139.97,2311.1676,7.549019607843137,9.0279984375,144.447975,7.745940718514378
2,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows,10,0.1521197007481297,1495.0,1614.6,10.769230769230768,3.153515625,100.9125,7.387461683689258
3,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,0.22693266832917708,770.0,831.6,8.75,3.2484375,103.95,6.724553334760875
4,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows,10,0.37655860349127185,498.9,538.812,7.09090909090909,2.104734375,134.703,6.2912209307925355
5,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows,10,0.37655860349127185,745.0,804.6,7.09090909090909,3.14296875,100.575,6.691587341404353
6,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows,10,0.13216957605985036,979.0,1057.3200000000002,10.901639344262296,8.260312500000001,132.16500000000002,6.964438024154124
7,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32,Intel HD Graphics 400,Windows,10,0.07231920199501249,191.9,207.252,11.83673469387755,6.476625,103.626,5.3387488848423725
8,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1152,Nvidia GeForce GTX 1050,Windows,10,0.45137157107231923,999.0,1078.92,6.24,0.9365625000000001,134.865,6.984642243300572
9,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,0.23192019950124693,819.0,884.5200000000001,8.209876543209877,3.4551562500000004,110.56500000000001,6.786175043077368
10,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows,10,0.30423940149625933,659.0,711.72,8.167539267015707,2.78015625,88.965,6.569088636412388
